objectid,filename,youtubeid,title,titleplus,creator,date,description,subject,location,latitude,longitude,collection,source,identifier,type,format,language,rights,rightsstatement
agincourt1,3dprinter.jpg,,Agincourt,Agincourt | Toronto Public Library ,Toronto Public Library ,2022,Available: 3D printers and a variety of design software.,3D Printer,"155 Bonis Avenue
Toronto
M1T 3W6",43.78575714,-79.29327476,In-Library,,https://www.torontopubliclibrary.ca/using-the-library/computer-services/innovation-spaces/3D-design-print.jsp,,image,,Unsplash / eMotion Tech,/credits.html
agincourt2,computing.jpg,,Agincourt,Agincourt | Toronto Public Library ,Toronto Public Library ,2022,"Available: Arduino Kits can be taken home or used in the library. Kits include the Arduino itself, an instructional booklet and all the components needed to complete projects in the booklet. There are three kits for different skill levels.",Computing and Coding Equipment ,"155 Bonis Avenue
Toronto
M1T 3W6",43.78575714,-79.29327476,Circulating,,https://www.torontopubliclibrary.ca/using-the-library/computer-services/innovation-spaces/arduino.jsp,,image,,Unsplash / Alessandro Oliverio,/credits.html
agincourt3,software.jpg,,Agincourt,Agincourt | Toronto Public Library ,Toronto Public Library ,2022,"Available: software for digital learning and creation, including Adobe Creative Cloud; Wacom Cintiq graphic tablets.",Design and Software Studio ,"155 Bonis Avenue
Toronto
M1T 3W6",43.78575714,-79.29327476,In-Library,,https://www.torontopubliclibrary.ca/using-the-library/computer-services/learning-centres/,,image,,Unsplash / Carl Heyerdahl,/credits.html
agincourt4,recording.jpg,,Agincourt,Agincourt | Toronto Public Library ,Toronto Public Library ,2022,"Available: iMac with Adobe CC, Final Cut Pro X, Logic Pro X and Ableton Live; Studio speakers; Microphones; Microphone Stands and Cables; USB Audio Interface; MIDI Interfaces; Video Camera (including tripods, cables); DSLR Camera (including tripods, cables); LED Studio Lighting; Headphones; Green screen/Green wall.",Recording Studio and Equipment ,"155 Bonis Avenue
Toronto
M1T 3W6",43.78575714,-79.29327476,In-Library,,https://www.torontopubliclibrary.ca/using-the-library/computer-services/innovation-spaces/recording-studio.jsp,,image,,Unsplash / Will Francis,/credits.html
albertcampbell1,software.jpg,,Albert Campbell,Albert Campbell | Toronto Public Library ,Toronto Public Library ,2022,"Available: software for digital learning and creation, including Adobe Creative Cloud; Wacom Cintiq graphic tablets.",Design and Software Studio ,"496 Birchmount Road
Toronto
M1K 1N8",43.70907259,-79.2688411,In-Library,,https://www.torontopubliclibrary.ca/using-the-library/computer-services/learning-centres/,,image,,Unsplash / Carl Heyerdahl,/credits.html
albertcampbell2,scanner.jpg,,Albert Campbell,Albert Campbell | Toronto Public Library ,Toronto Public Library ,2022,"Available: Epson V600 photo, negative, slide and document scanner.",Digitization and Document Equipment ,"496 Birchmount Road
Toronto
M1K 1N8",43.70907259,-79.2688411,In-Library,,https://www.torontopubliclibrary.ca/using-the-library/computer-services/scanners/,,image,,CC BY 3.0 / gratuit ,/credits.html
albion1,3dprinter.jpg,,Albion,Albion | Toronto Public Library ,Toronto Public Library ,2022,Available: 3D printers and a variety of design software.,3D Printer,"1515 Albion Road
Toronto
M9V 1B2",43.74076641,-79.58477352,In-Library,,https://www.torontopubliclibrary.ca/using-the-library/computer-services/innovation-spaces/3D-design-print.jsp,,image,,Unsplash / eMotion Tech,/credits.html
albion2,computing.jpg,,Albion,Albion | Toronto Public Library ,Toronto Public Library ,2022,"Available: Arduino Kits can be taken home or used in the library. Kits include the Arduino itself, an instructional booklet and all the components needed to complete projects in the booklet. There are three kits for different skill levels.",Computing and Coding Equipment ,"1515 Albion Road
Toronto
M9V 1B2",43.74076641,-79.58477352,Circulating,,https://www.torontopubliclibrary.ca/using-the-library/computer-services/innovation-spaces/arduino.jsp,,image,,Unsplash / Alessandro Oliverio,/credits.html
albion3,software.jpg,,Albion,Albion | Toronto Public Library ,Toronto Public Library ,2022,"Available: software for digital learning and creation, including Adobe Creative Cloud; Wacom Cintiq graphic tablets.",Design and Software Studio ,"1515 Albion Road
Toronto
M9V 1B2",43.74076641,-79.58477352,In-Library,,https://www.torontopubliclibrary.ca/using-the-library/computer-services/learning-centres/,,image,,Unsplash / Carl Heyerdahl,/credits.html
albion4,recording.jpg,,Albion,Albion | Toronto Public Library ,Toronto Public Library ,2022,"Available: iMac with Adobe CC, Final Cut Pro X, Logic Pro X and Ableton Live; Studio speakers; Microphones; Microphone Stands and Cables; USB Audio Interface; MIDI Interfaces; Video Camera (including tripods, cables); DSLR Camera (including tripods, cables); LED Studio Lighting; Headphones; Green screen/Green wall.",Recording Studio and Equipment ,"1515 Albion Road
Toronto
M9V 1B2",43.74076641,-79.58477352,In-Library,,https://www.torontopubliclibrary.ca/using-the-library/computer-services/innovation-spaces/recording-studio.jsp,,image,,Unsplash / Will Francis,/credits.html
barbarafrum1,software.jpg,,Barbara Frum,Barbara Frum | Toronto Public Library ,Toronto Public Library ,2022,"Available: software for digital learning and creation, including Adobe Creative Cloud.",Design and Software Studio ,"20 Covington Road 
Toronto, ON  M6A 3C1",43.72095338,-79.43209437,In-Library,,https://www.torontopubliclibrary.ca/using-the-library/computer-services/learning-centres/,,image,,Unsplash / Carl Heyerdahl,/credits.html
bloorgladstone1,software.jpg,,Bloor/Gladstone,Bloor/Gladstone | Toronto Public Library ,Toronto Public Library ,2022,"Available: software for digital learning and creation, including Adobe Creative Cloud.",Design and Software Studio ,"1101 Bloor Street West 
Toronto, ON  M6H 1M7",43.66002461,-79.43392393,In-Library,,https://www.torontopubliclibrary.ca/using-the-library/computer-services/learning-centres/,,image,,Unsplash / Carl Heyerdahl,/credits.html
brentwood1,software.jpg,,Brentwood,Brentwood | Toronto Public Library ,Toronto Public Library ,2022,"Available: software for digital learning and creation, including Adobe Creative Cloud.",Design and Software Studio ,"36 Brentwood Road North 
Toronto, ON  M8X 2B5",43.64765447,-79.51420046,In-Library,,https://www.torontopubliclibrary.ca/using-the-library/computer-services/learning-centres/,,image,,Unsplash / Carl Heyerdahl,/credits.html
cedarbrae1,software.jpg,,Cedarbrae,Cedarbrae | Toronto Public Library ,Toronto Public Library ,2022,"Available: software for digital learning and creation, including Adobe Creative Cloud.",Design and Software Studio ,"545 Markham Road 
Toronto, ON  M1H 2A1",43.75769051,-79.22409333,In-Library,,https://www.torontopubliclibrary.ca/using-the-library/computer-services/learning-centres/,,image,,Unsplash / Carl Heyerdahl,/credits.html
cedarbrae1,scanner.jpg,,Cedarbrae,Cedarbrae | Toronto Public Library ,Toronto Public Library ,2022,"Available: Epson V600 photo, negative, slide and document scanner.",Digitization and Document Equipment ,"545 Markham Road 
Toronto, ON  M1H 2A1",43.75769051,-79.22409333,In-Library,,https://www.torontopubliclibrary.ca/using-the-library/computer-services/learning-centres/,,image,,CC BY 3.0 / gratuit ,/credits.html
downsview1,3dprinter.jpg,,Downsview,Downsview | Toronto Public Library ,Toronto Public Library ,2022,Available: 3D printers and a variety of design software.,3D Printer,"2793 Keele Street
Toronto
M3M 2G3",43.72942708,-79.48223101,In-Library,,https://www.torontopubliclibrary.ca/using-the-library/computer-services/innovation-spaces/3D-design-print.jsp,,image,,Unsplash / eMotion Tech,/credits.html
downsview2,computing.jpg,,Downsview,Downsview | Toronto Public Library ,Toronto Public Library ,2022,"Available: Arduino Kits can be taken home or used in the library. Kits include the Arduino itself, an instructional booklet and all the components needed to complete projects in the booklet. There are three kits for different skill levels.",Computing and Coding Equipment ,"2793 Keele Street
Toronto
M3M 2G3",43.72942708,-79.48223101,Circulating,,https://www.torontopubliclibrary.ca/using-the-library/computer-services/innovation-spaces/arduino.jsp,,image,,Unsplash / Alessandro Oliverio,/credits.html
downsview3,software.jpg,,Downsview,Downsview | Toronto Public Library ,Toronto Public Library ,2022,"Available: software for digital learning and creation, including Adobe Creative Cloud; Wacom Cintiq graphic tablets.",Design and Software Studio ,"2793 Keele Street
Toronto
M3M 2G3",43.72942708,-79.48223101,In-Library,,https://www.torontopubliclibrary.ca/using-the-library/computer-services/learning-centres/,,image,,Unsplash / Carl Heyerdahl,/credits.html
fairview1,software.jpg,,Fairview,Fairview | Toronto Public Library ,Toronto Public Library ,2022,"Available: software for digital learning and creation, including Adobe Creative Cloud.",Design and Software Studio ,"35 Fairview Mall Drive 
Toronto, ON  M2J 4S4",43.77919332,-79.3466582,In-Library,,https://www.torontopubliclibrary.ca/using-the-library/computer-services/learning-centres/,,image,,Unsplash / Carl Heyerdahl,/credits.html
fairview2,scanner.jpg,,Fairview,Fairview | Toronto Public Library ,Toronto Public Library ,2022,"Available: Epson V600 photo, negative, slide and document scanner.",Digitization and Document Equipment ,"36 Fairview Mall Drive 
Toronto, ON  M2J 4S4",43.77919332,-79.3466582,In-Library,,https://www.torontopubliclibrary.ca/using-the-library/computer-services/learning-centres/,,image,,CC BY 3.0 / gratuit ,/credits.html
